"","Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","Belgium",1658,1225,1826,1057,2037,2261,1732.1,541.1,164.2,320,608,285,352,412.019,0
"2","Chile",0,0,0,0,0,0,0,0,42547.85,25562,65469.896,24838.28,37885.778,0,0
"3","Colombia",0,0,0,0,0,0,0,0,0,0,0,108452,113576,133440,0
"4","Denmark",1416959,1251065,1269913,1371546,1200766,1251466,1223273,1315746,1092315,1061393,973644,801730,621526,777064,973462
"5","Estonia",0,0,0,0,0,0,0,0,0,25354.288,30526.264,26679.564,36962.12,32744,25784
"6","Finland",0,0,0,3103.336,8053.452,3026.44,0,0,0,0,0,0,0,0,0
"7","France",54702.1,80109.119,78156.319,32002,46678,52390,52840,0,17620,32055,0,63370.43,35345.465,30036.833,0
"8","Germany",49474,38271,18158,37000,41464,32137.6,164927,203266,199276,200042,94381.97,54044,215056.247,170480.207,204095
"9","Greece",64,24,15,6,0,0,0,0,0,0,0,0,0,0,0
"10","Iceland",558981,613651,607028,860631.756,753881,704594,474627,398391,546199,259531,451404.6,389905,286705.967,363026,0
"11","Ireland",57477,41109,34065,76599,0,55387.194,86142.194,125583.574,292284.297,256623.998,323715.1,142597.054,178595.52,0,0
"12","Latvia",0,0,0,0,0,0,0,0,0,0,0,9348,17900,23320,0
"13","Mexico",0,0,0,0,37536,390,0,0,0,0,0,0,0,0,0
"14","Netherlands",892963,853457,946974,956679,901764,929453,980800,818653,670652,713700,445151,393774,308450,24725.977,0
"15","Norway",1919839,1881111,1853974,1265760,947367,657389,801910,1019172,1081857.4,1114689.075,1074033.4,1101057.8,1140747.1,1046611.5,1453355
"16","Poland",0,0,0,0,1449.688,3240,4212,6444,0,19471.32,36155.844,33377.098,30388,25416,0
"17","Portugal",15708,7158.66,3817.4,5704.3,6936,5228.2,5591.9,3466.7,6855.109,4144,2096.2,1742,1972.4,1662.9,1182.4
"18","Spain",0,0,747756.2,394370.7,380767.3,360638.642,369628.423,419234.394,356952.289,560683,749950,682774,268023,5945,623
"19","Sweden",26830,15691,12208,21285,26213,26267,22934,33312.2,28558.192,58863,46548,31566,27885,51130,29100
"20","Thailand",0,0,0,0,32204,34364,35897.6,37669.2,46826,0,0,0,0,0,0
"21","United Kingdom",212895.162,239502.472,264209.466,375271.924,447324.661,557748.541,378563.834,360030.433,394717.813,352165.158,369116.751,254667.064,341677.594,234330.567,0
"22","United States",12072,8860,6563,17860,12953,10715,1656,1428,5448,0,0,0,0,0,0
